id,title,overview,genres,keywords,cast,director,vote_average,vote_count,popularity,decade,language,collection,poster_url
10858,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","['History', 'Drama']","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins']",Oliver Stone,7.1,72.0,5.092,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg
1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['Action', 'Adventure']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",Renny Harlin,5.7,137.0,7.284477,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg
524,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"['Drama', 'Crime']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",Martin Scorsese,7.8,1343.0,10.137389,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/xo517ibXBDdYQY81j0WIG7BVcWq.jpg
4584,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","['Drama', 'Romance']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman']",Ang Lee,7.2,364.0,10.673167,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['Crime', 'Comedy']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei']",Allison Anders,6.5,539.0,9.026586,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg
9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['Crime', 'Comedy', 'Adventure']","['africa', 'indigenous', 'human animal relationship', 'bat']","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']",Steve Oedekerk,6.1,1128.0,8.205448,decade_1990s,lang_en,Ace Ventura Collection,https://image.tmdb.org/t/p/w500/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg
11517,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","['Action', 'Comedy', 'Crime']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",Joseph Ruben,5.4,224.0,7.337906,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['Comedy', 'Thriller', 'Crime']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",Barry Sonnenfeld,6.4,305.0,12.669608,decade_1990s,lang_en,Chili Palmer Collection,https://image.tmdb.org/t/p/w500/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['Drama', 'Thriller']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.']",Jon Amiel,6.5,199.0,10.701801,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/80czeJGSoik22fhtUM9WzyjUU4r.jpg
9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['Action', 'Adventure', 'Crime', 'Thriller']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",Richard Donner,6.0,394.0,11.065939,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
12665,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']",Victor Salva,6.3,143.0,12.133094,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['Drama', 'Romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']",Mike Figgis,7.1,365.0,10.332025,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg
16420,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,['Drama'],"['shakespeare', 'jealousy', 'friends', 'moor']","['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Indra Ové']",Oliver Parker,7.0,33.0,1.845899,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg
9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","['Comedy', 'Drama', 'Family']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann']",Lesli Linka Glatter,6.6,91.0,8.681325,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg
17015,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","['Drama', 'Romance']","['captain', 'napoleonic wars', 'old flame', 'admiral']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine']",Roger Michell,7.4,36.0,2.228434,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/si8911IezMvAnQFDvyg1nKzDlD.jpg
902,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['Fantasy', 'Science Fiction', 'Adventure']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']",Jean-Pierre Jeunet,7.6,308.0,9.822423,decade_1990s,lang_fr,,https://image.tmdb.org/t/p/w500/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg
37557,Shanghai Triad,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"['Drama', 'Crime']","['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']","['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian', 'Chun Sung']",Zhang Yimou,6.5,17.0,1.100915,decade_1990s,lang_zh,,https://image.tmdb.org/t/p/w500/qcoOCoN7viOhboGwhYXyApdDuiq.jpg
9909,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","['Drama', 'Crime']","['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville']",John N. Smith,6.4,249.0,9.481338,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","['Science Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",Terry Gilliam,7.4,2470.0,12.297305,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg
9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","['Fantasy', 'Drama', 'Comedy', 'Family']","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",Chris Noonan,6.0,756.0,14.404764,decade_1990s,lang_en,Babe Collection,https://image.tmdb.org/t/p/w500/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg
47018,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","['History', 'Drama', 'Romance']","['england', 'painter', 'conscientious objector', 'independent film', 'soldier']","['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West', 'Rufus Sewell']",Christopher Hampton,6.4,16.0,1.493361,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg
687,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,['Drama'],"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",Tim Robbins,7.3,350.0,6.891317,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg
139405,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.","['Adventure', 'History', 'Drama', 'Family']",[],"['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Matt Malloy', 'Abby Lewis']",Stephen Low,3.5,2.0,0.114469,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/lKOAyy098yjoot8cutYsStVO1WS.jpg
33689,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","['Comedy', 'Family', 'Romance']","['orphan', 'identical twin']","['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett']",Andy Tennant,6.1,149.0,7.777735,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/l67WJL3Mjce1yoEgL4HheR5v75D.jpg
9603,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['Comedy', 'Drama', 'Romance']","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']",Amy Heckerling,6.9,828.0,9.882383,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/i8gEHh2sszB6YWLC0jl559sxAeN.jpg
34615,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,['Drama'],['south africa'],"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang', 'Ramalao Makhene']",Darrell James Roodt,6.7,13.0,0.894647,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg
31174,Richard III,Shakespeare's Play transplanted into a 1930s setting.,"['Drama', 'War']","['england', 'shakespeare', 'kidnapping', 'murder', 'king']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas', 'Adrian Dunbar']",Richard Loncraine,6.9,50.0,4.561387,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/e8nuS9GQoSFaqld4hW5erk2ccag.jpg
11443,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","['Action', 'Crime', 'Drama', 'History']","['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']","['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson']",Albert Hughes,6.6,80.0,9.87957,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/2dLyvXVvJXUR9otoqERkYpao1bB.jpg
35196,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","['Drama', 'Romance']","['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']","['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis', 'Hugh Grant']",Michael Hoffman,6.3,30.0,10.979269,decade_1990s,lang_en,,https://image.tmdb.org/t/p/w500/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg
9312,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['Action', 'Fantasy']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson']",Paul W.S. Anderson,5.4,452.0,10.870138,decade_1990s,lang_en,Mortal Kombat Collection,https://image.tmdb.org/t/p/w500/bdXWixjWVA7Y03PvW74xufrROiJ.jpg
